Date, Close/Last, Volume, Open, High, Low
3/10/2020,$6.26 ,101873600,$6.26 ,$6.29 ,$5.80 
3/9/2020,$5.90 ,103901700,$5.97 ,$6.14 ,$5.87 
3/6/2020,$6.49 ,109932200,$6.60 ,$6.68 ,$6.40 
3/5/2020,$6.74 ,78070890,$6.96 ,$6.97 ,$6.71 
3/4/2020,$7.08 ,70588070,$7.09 ,$7.09 ,$6.92 
3/3/2020,$6.97 ,97457780,$7.29 ,$7.34 ,$6.89 
3/2/2020,$7.20 ,96766030,$7.11 ,$7.23 ,$6.88 
2/28/2020,$6.96 ,116546700,$6.84 ,$6.96 ,$6.67 
2/27/2020,$6.97 ,118642400,$7.13 ,$7.28 ,$6.92 
2/26/2020,$7.21 ,92524840,$7.30 ,$7.46 ,$7.21 
2/25/2020,$7.23 ,108888300,$7.68 ,$7.68 ,$7.22 
2/24/2020,$7.57 ,110048200,$7.70 ,$7.72 ,$7.55 
2/21/2020,$7.89 ,58326330,$8.02 ,$8.03 ,$7.89 
2/20/2020,$8.03 ,52318240,$8 ,$8.07 ,$7.99 
2/19/2020,$8 ,69668180,$8.06 ,$8.10 ,$8 
2/18/2020,$8.06 ,65207480,$8.12 ,$8.15 ,$8.02 
2/14/2020,$8.10 ,46359670,$8.27 ,$8.27 ,$8.08 
2/13/2020,$8.25 ,67648840,$8.21 ,$8.36 ,$8.21 
2/12/2020,$8.24 ,111536800,$8.14 ,$8.33 ,$8.13 
2/11/2020,$8.10 ,80164530,$8.10 ,$8.15 ,$8.08 
2/10/2020,$8.06 ,71834910,$8.15 ,$8.15 ,$8.05 
2/7/2020,$8.11 ,98256480,$8.21 ,$8.21 ,$8.02 
2/6/2020,$8.25 ,68823370,$8.37 ,$8.38 ,$8.25 
2/5/2020,$8.31 ,145792500,$8.41 ,$8.48 ,$8.26 
2/4/2020,$9.18 ,86196420,$9.08 ,$9.24 ,$9.07 
2/3/2020,$8.98 ,71432660,$8.85 ,$9.14 ,$8.85 
1/31/2020,$8.82 ,59813730,$8.78 ,$8.84 ,$8.74 
1/30/2020,$8.84 ,42827800,$8.81 ,$8.84 ,$8.73 
1/29/2020,$8.86 ,59070710,$8.85 ,$8.96 ,$8.84 
1/28/2020,$8.97 ,85163400,$8.94 ,$9 ,$8.86 
1/27/2020,$8.89 ,60769340,$8.88 ,$8.96 ,$8.78 
1/24/2020,$9 ,68100950,$9.11 ,$9.12 ,$8.96 
1/23/2020,$9.14 ,75848670,$9.14 ,$9.16 ,$8.93 
1/22/2020,$9.16 ,39914760,$9.22 ,$9.25 ,$9.15 
1/21/2020,$9.21 ,49556420,$9.15 ,$9.22 ,$9.10 
1/17/2020,$9.16 ,41644870,$9.19 ,$9.23 ,$9.13 
1/16/2020,$9.17 ,44310390,$9.23 ,$9.28 ,$9.15 
1/15/2020,$9.19 ,55923870,$9.27 ,$9.30 ,$9.18 
1/14/2020,$9.29 ,42936050,$9.22 ,$9.33 ,$9.21 
1/13/2020,$9.24 ,48562150,$9.25 ,$9.26 ,$9.11 
1/10/2020,$9.25 ,39819240,$9.27 ,$9.36 ,$9.25 
1/9/2020,$9.26 ,51905120,$9.30 ,$9.31 ,$9.18 
1/8/2020,$9.25 ,46003050,$9.23 ,$9.30 ,$9.17 
1/7/2020,$9.25 ,45334550,$9.20 ,$9.25 ,$9.12 
1/6/2020,$9.16 ,43380680,$9.10 ,$9.17 ,$9.06 
1/3/2020,$9.21 ,45059920,$9.31 ,$9.37 ,$9.15 
1/2/2020,$9.42 ,43432240,$9.29 ,$9.42 ,$9.19 
12/31/2019,$9.30 ,32345380,$9.25 ,$9.33 ,$9.24 
12/30/2019,$9.25 ,36085420,$9.34 ,$9.35 ,$9.23 
12/27/2019,$9.36 ,28273600,$9.45 ,$9.46 ,$9.35 
12/26/2019,$9.45 ,28982310,$9.47 ,$9.49 ,$9.43 
12/24/2019,$9.47 ,11881600,$9.44 ,$9.49 ,$9.43 
12/23/2019,$9.44 ,54795990,$9.50 ,$9.57 ,$9.40 
12/20/2019,$9.48 ,50199270,$9.50 ,$9.54 ,$9.44 
12/19/2019,$9.41 ,42237370,$9.55 ,$9.57 ,$9.38 
12/18/2019,$9.54 ,45929400,$9.39 ,$9.58 ,$9.36 
12/17/2019,$9.39 ,35516660,$9.38 ,$9.41 ,$9.31 
12/16/2019,$9.39 ,42339950,$9.24 ,$9.39 ,$9.22 
12/13/2019,$9.23 ,35334490,$9.32 ,$9.39 ,$9.19 
12/12/2019,$9.32 ,48398720,$9.11 ,$9.36 ,$9.11 
12/11/2019,$9.11 ,33205340,$9.06 ,$9.14 ,$9.06 
12/10/2019,$9.07 ,34233140,$9.02 ,$9.10 ,$8.96 
12/9/2019,$9.01 ,21898170,$8.97 ,$9.07 ,$8.96 
12/6/2019,$9.02 ,31111720,$8.96 ,$9.07 ,$8.95 
12/5/2019,$8.93 ,25770720,$8.97 ,$9 ,$8.88 
12/4/2019,$8.95 ,29994670,$8.95 ,$9.03 ,$8.94 
12/3/2019,$8.89 ,41121650,$8.95 ,$8.95 ,$8.80 
12/2/2019,$9.01 ,37270510,$9.08 ,$9.14 ,$9 
11/29/2019,$9.06 ,13096150,$9.04 ,$9.10 ,$9.03 
11/27/2019,$9.10 ,37424080,$9.03 ,$9.15 ,$9.02 
11/26/2019,$9.01 ,30106840,$8.98 ,$9.02 ,$8.91 
11/25/2019,$9 ,30617390,$8.90 ,$9.01 ,$8.87 
11/22/2019,$8.89 ,34966750,$8.80 ,$8.90 ,$8.77 
11/21/2019,$8.71 ,33161370,$8.77 ,$8.79 ,$8.67 
11/20/2019,$8.73 ,38291750,$8.88 ,$8.89 ,$8.68 
11/19/2019,$8.90 ,31192770,$8.99 ,$9 ,$8.87 
11/18/2019,$8.95 ,38296390,$9.05 ,$9.05 ,$8.89 
11/15/2019,$8.95 ,26430900,$8.85 ,$8.96 ,$8.85 
11/14/2019,$8.79 ,26542130,$8.85 ,$8.91 ,$8.78 
11/13/2019,$8.81 ,34820790,$9 ,$9 ,$8.80 
11/12/2019,$9.04 ,28710940,$9.06 ,$9.13 ,$9.04 
11/11/2019,$9.08 ,24852640,$8.95 ,$9.10 ,$8.94 
11/8/2019,$9.04 ,29489850,$8.90 ,$9.04 ,$8.82 
11/7/2019,$8.89 ,32640400,$8.96 ,$9.01 ,$8.88 
11/6/2019,$8.92 ,39497700,$9.05 ,$9.05 ,$8.89 
11/5/2019,$9.02 ,37569670,$9.02 ,$9.15 ,$9 
11/4/2019,$9 ,46716530,$8.93 ,$9.05 ,$8.93 
11/1/2019,$8.89 ,55354930,$8.64 ,$8.93 ,$8.64 
10/31/2019,$8.59 ,29124080,$8.58 ,$8.60 ,$8.50 
10/30/2019,$8.54 ,28685310,$8.64 ,$8.64 ,$8.52 
10/29/2019,$8.64 ,36771760,$8.59 ,$8.71 ,$8.59 
10/28/2019,$8.61 ,39635290,$8.76 ,$8.76 ,$8.58 
10/25/2019,$8.72 ,51373620,$8.67 ,$8.75 ,$8.62 
10/24/2019,$8.60 ,121124000,$8.87 ,$8.89 ,$8.55 
10/23/2019,$9.21 ,46677590,$9.01 ,$9.21 ,$8.97 
10/22/2019,$9.07 ,35997410,$9.01 ,$9.14 ,$8.96 
10/21/2019,$9.03 ,33812870,$9.19 ,$9.25 ,$9.01 
10/18/2019,$9.29 ,42432620,$9.09 ,$9.32 ,$9.09 
10/17/2019,$9.11 ,28652390,$9.12 ,$9.14 ,$9.03 
10/16/2019,$9.07 ,27386350,$9.11 ,$9.19 ,$9.06 
10/15/2019,$9.07 ,31040710,$8.84 ,$9.10 ,$8.78 
10/14/2019,$8.82 ,25444790,$8.82 ,$8.84 ,$8.76 
10/11/2019,$8.78 ,34210300,$8.73 ,$8.87 ,$8.73 
10/10/2019,$8.62 ,28223350,$8.58 ,$8.65 ,$8.52 
10/9/2019,$8.56 ,16979210,$8.61 ,$8.64 ,$8.56 
10/8/2019,$8.54 ,31598390,$8.65 ,$8.66 ,$8.50 
10/7/2019,$8.68 ,29494230,$8.70 ,$8.79 ,$8.61 
10/4/2019,$8.74 ,28096690,$8.72 ,$8.76 ,$8.66 
10/3/2019,$8.71 ,41250600,$8.55 ,$8.71 ,$8.45 
10/2/2019,$8.61 ,68290410,$8.85 ,$8.86 ,$8.44 
10/1/2019,$8.90 ,39690750,$9.19 ,$9.24 ,$8.87 
9/30/2019,$9.16 ,22493310,$9.11 ,$9.21 ,$9.10 
9/27/2019,$9.08 ,32462240,$9.14 ,$9.60 ,$9.06 
9/26/2019,$9.14 ,26593310,$9.23 ,$9.23 ,$9.07 
9/25/2019,$9.20 ,20555600,$9.10 ,$9.23 ,$9.09 
9/24/2019,$9.11 ,33167700,$9.19 ,$9.23 ,$9.05 
9/23/2019,$9.16 ,23591820,$9.13 ,$9.23 ,$9.08 
9/20/2019,$9.17 ,38117100,$9.13 ,$9.30 ,$9.11 
9/19/2019,$9.10 ,29133990,$9.31 ,$9.33 ,$9.10 
9/18/2019,$9.25 ,24473870,$9.26 ,$9.36 ,$9.22 
9/17/2019,$9.28 ,27510980,$9.27 ,$9.31 ,$9.18 
9/16/2019,$9.30 ,50052610,$9.36 ,$9.45 ,$9.24 
9/13/2019,$9.45 ,27161260,$9.47 ,$9.59 ,$9.44 
9/12/2019,$9.41 ,35687710,$9.36 ,$9.48 ,$9.32 
9/11/2019,$9.42 ,34190270,$9.29 ,$9.43 ,$9.29 
9/10/2019,$9.42 ,70567290,$9.08 ,$9.42 ,$9.04 
9/9/2019,$9.54 ,48059370,$9.39 ,$9.65 ,$9.39 
9/6/2019,$9.34 ,29210270,$9.37 ,$9.41 ,$9.20 
9/5/2019,$9.34 ,36640470,$9.25 ,$9.40 ,$9.25 
9/4/2019,$9.20 ,27410230,$9.17 ,$9.23 ,$9.07 
9/3/2019,$9.10 ,26331720,$9.18 ,$9.20 ,$9.04 
8/30/2019,$9.17 ,32060740,$9.16 ,$9.23 ,$9.10 
8/29/2019,$9.12 ,22016750,$9.10 ,$9.14 ,$9.03 
8/28/2019,$9 ,35147630,$8.72 ,$9.04 ,$8.70 
8/27/2019,$8.76 ,23032300,$8.89 ,$8.91 ,$8.75 
8/26/2019,$8.82 ,31890300,$8.88 ,$8.91 ,$8.79 
8/23/2019,$8.77 ,44987690,$8.90 ,$8.99 ,$8.73 
8/22/2019,$9.04 ,20977680,$9.05 ,$9.14 ,$9.02 
8/21/2019,$9.04 ,20443920,$9.02 ,$9.05 ,$8.97 
8/20/2019,$8.96 ,25119460,$9 ,$9.07 ,$8.93 
8/19/2019,$9.03 ,21844000,$9.05 ,$9.10 ,$9.02 
8/16/2019,$8.96 ,27369850,$8.92 ,$9 ,$8.81 
8/15/2019,$8.86 ,40682770,$9.06 ,$9.06 ,$8.78 
8/14/2019,$9 ,45967360,$9.13 ,$9.15 ,$8.96 
8/13/2019,$9.26 ,28314960,$9.29 ,$9.42 ,$9.18 
8/12/2019,$9.29 ,23050380,$9.39 ,$9.43 ,$9.28 
8/9/2019,$9.45 ,38739670,$9.54 ,$9.58 ,$9.39 
8/8/2019,$9.56 ,25468950,$9.56 ,$9.62 ,$9.51 
8/7/2019,$9.53 ,43042370,$9.43 ,$9.56 ,$9.32 
8/6/2019,$9.48 ,51856100,$9.42 ,$9.51 ,$9.36 
8/5/2019,$9.23 ,47963450,$9.18 ,$9.27 ,$9.06 
8/2/2019,$9.28 ,41495160,$9.26 ,$9.34 ,$9.21 
8/1/2019,$9.31 ,58060750,$9.53 ,$9.59 ,$9.28 
7/31/2019,$9.53 ,56715510,$9.57 ,$9.58 ,$9.40 
7/30/2019,$9.55 ,36944660,$9.56 ,$9.58 ,$9.48 
