YEAR,BRAND,PAGE,ENTRY,PRICE,MILES,SHIPPING,dummy,CHEVROLET,FORD,HYUNDAI,TOYOTA,JEEP,VOLKSWAGEN,NISSAN,KIA,BUICK,DODGE,HONDA,GMC,SUBARU,INFINITI,MAZDA,CADILLAC,FIAT,LEXUS,BMW
2017,HYUNDAI,1,1,14600,24223,300,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,KIA,1,2,21400,2948,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017,HYUNDAI,1,4,15600,34179,300,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,NISSAN,1,5,16600,32046,300,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017,FORD,1,6,21500,41995,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,HYUNDAI,1,7,17900,35845,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,HYUNDAI,1,8,15400,45448,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,KIA,1,9,16900,22198,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017,GMC,1,10,17300,32606,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017,JEEP,1,11,15900,28230,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,HYUNDAI,1,12,16400,37345,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,JEEP,1,13,16900,29046,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,NISSAN,1,14,23800,10899,300,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016,KIA,1,15,16900,25441,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017,JEEP,1,16,16400,22836,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,NISSAN,1,17,13400,32842,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2018,BUICK,1,18,16300,23045,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018,CHEVROLET,1,19,15000,45297,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,BUICK,1,20,16900,15984,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017,FORD,2,2,15600,34053,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,FORD,2,3,15900,27500,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,JEEP,2,4,25900,24047,200,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,HYUNDAI,2,5,20500,19293,300,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,CHEVROLET,2,6,15300,13022,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,FORD,2,7,19400,26394,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,JEEP,2,8,16400,35204,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,VOLKSWAGEN,2,9,18900,36822,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,CHEVROLET,2,10,16500,38936,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,NISSAN,2,11,13900,10342,300,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017,KIA,2,12,15400,32318,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017,JEEP,2,13,27400,23626,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,JEEP,2,14,22600,38606,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,JEEP,2,15,26900,21691,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,JEEP,2,16,17000,15964,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,CHEVROLET,2,18,16300,24848,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,CHEVROLET,2,19,17500,13108,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,HYUNDAI,2,20,17500,25742,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,KIA,3,1,19900,20774,300,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017,BUICK,3,2,15400,24653,200,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017,CHEVROLET,3,3,16900,21724,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,NISSAN,3,4,11900,42378,300,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2018,CHEVROLET,3,5,17900,20625,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,CHEVROLET,3,6,14400,24791,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,BUICK,3,7,18900,13482,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017,CHEVROLET,3,8,18000,12825,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,CHEVROLET,3,9,17600,23893,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,JEEP,3,10,18600,14096,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,CHEVROLET,3,11,15700,3740,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,BUICK,3,12,16900,23497,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016,CHEVROLET,3,13,12900,32446,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,CHEVROLET,3,14,15000,14432,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,GMC,3,15,20700,45591,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017,FORD,3,16,14900,43715,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,FORD,3,17,18900,42454,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,CHEVROLET,3,18,17900,21882,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,GMC,3,19,20000,29534,300,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017,KIA,3,20,15900,38266,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,CHEVROLET,4,1,14900,17521,200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,HYUNDAI,4,2,16500,16174,200,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,JEEP,4,3,21500,21311,300,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,HYUNDAI,4,4,13500,28306,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,KIA,4,5,17000,23256,200,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013,HYUNDAI,4,6,13700,29841,300,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,BMW,4,7,23500,53746,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,JEEP,4,8,15600,34062,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
