YEAR,BRAND,MAKE,TRIM,PRICE,MILES,SHIP,PAGE,ENTRY
2017,HYUNDAI,SONATA,SE,"14,600","24,223 miles",Shipping: $300,1,1
2017,KIA,SPORTAGE,EX,"21,400","2,948 miles",Free Shipping,1,2
2019,CHRYSLER,PACIFICA,Limited,"34,400","24,928 miles",Shipping: $200,1,3
2017,HYUNDAI,TUCSON,SE,"15,600","34,179 miles",Shipping: $300,1,4
2017,NISSAN,ROGUE,SV,"16,600","32,046 miles",Shipping: $300,1,5
2017,FORD,EDGE,SEL,"21,500","41,995 miles",Free Shipping,1,6
2017,HYUNDAI,TUCSON,SE Plus,"17,900","35,845 miles",Free Shipping,1,7
2017,HYUNDAI,TUCSON,SE,"15,400","45,448 miles",Free Shipping,1,8
2019,KIA,OPTIMA,LX,"16,900","22,198 miles",Free Shipping,1,9
2017,GMC,TERRAIN,SLE-2,"17,300","32,606 miles",Free Shipping,1,10
2017,JEEP,PATRIOT,High Altitude Edition,"15,900","28,230 miles",Free Shipping,1,11
2017,HYUNDAI,SANTA FE SPORT,Santa Fe Sport,"16,400","37,345 miles",Free Shipping,1,12
2017,JEEP,PATRIOT,High Altitude Edition,"16,900","29,046 miles",Free Shipping,1,13
2019,NISSAN,FRONTIER CREW CAB,SV 5 Ft,"23,800","10,899 miles",Shipping: $300,1,14
2016,KIA,OPTIMA,EX,"16,900","25,441 miles",Free Shipping,1,15
2017,JEEP,PATRIOT,High Altitude Edition,"16,400","22,836 miles",Free Shipping,1,16
2017,NISSAN,SENTRA,SV,"13,400","32,842 miles",Free Shipping,1,17
2018,BUICK,ENCORE,Preferred,"16,300","23,045 miles",Free Shipping,1,18
2018,CHEVROLET,MALIBU,LT,"15,000","45,297 miles",Free Shipping,1,19
2016,BUICK,ENCORE,Leather,"16,900","15,984 miles",Free Shipping,1,20
2018,MITSUBISHI,OUTLANDER SPORT,LE,"15,900","17,434 miles",Free Shipping,2,1
2017,FORD,ESCAPE,SE,"15,600","34,053 miles",Free Shipping,2,2
2017,FORD,ESCAPE,SE,"15,900","27,500 miles",Free Shipping,2,3
