YEAR,PRICE,MILES,SHIPPING,dummy,CHEVROLET,FORD,HYUNDAI,TOYOTA,JEEP,VOLKSWAGEN,NISSAN,KIA,BUICK,DODGE,HONDA,GMC,SUBARU,INFINITI,MAZDA,CADILLAC,FIAT,LEXUS,BMW,AVG_PRICE,AVG_MILEAGE
2010,159700,705699,1500,11,0,0,0,5,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,14518.181818181818,64154.454545454544
2011,463100,1715078,2200,27,2,3,1,9,0,1,2,0,0,0,4,0,0,0,0,2,0,1,2,17151.85185185185,63521.40740740741
2012,2329700,8985156,15400,142,12,10,9,28,7,11,5,3,3,1,41,1,1,0,0,5,0,3,2,16406.338028169015,63275.74647887324
2013,4386600,16271822,31800,272,18,30,21,23,13,65,11,8,7,2,43,5,1,0,0,4,0,11,10,16127.20588235294,59822.875
2014,5909200,18119290,32300,329,37,40,14,41,32,47,17,12,6,2,40,5,10,0,0,5,0,9,12,17961.09422492401,55073.82978723404
2015,9133790,22685214,57900,484,58,64,17,45,72,32,39,28,17,9,38,15,10,0,0,10,0,18,12,18871.46694214876,46870.276859504134
2016,17937390,36668370,98399,1049,239,115,42,39,113,32,91,72,188,18,21,22,10,0,0,14,0,12,21,17099.513822688274,34955.54814108675
2017,74588480,125526559,289999,4127,970,728,216,91,419,178,268,232,432,61,17,222,44,0,0,154,0,58,37,18073.292948873273,30415.933850254423
2018,25962890,35538859,128400,1405,381,212,43,40,176,4,130,63,102,120,15,79,15,0,0,9,0,6,10,18478.925266903916,25294.5615658363
2019,12861470,11997231,58400,625,70,19,58,11,62,5,81,236,3,27,17,0,34,0,0,0,0,0,2,20578.352,19195.5696
2020,54900,1061,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54900.0,1061.0
