Alexandria,Village,517
Amanda,Village,737
Ashley,Village,1330
Ashville,Village,4097
Baltimore,Village,2966
Beechwood Trails,Census-Designated Place,3020
Bexley,City,13057
Blacklick Estates,Census-Designated Place,8682
Bremen,Village,1425
Brice,Village,114
Brownsville,Census-Designated Place,220
Buckeye Lake,Village,2746
Canal Winchester,City,7101
Candlewood Lake,Census-Designated Place,1147
Carbon Hill,Census-Designated Place,233
Cardington,Village,2047
Carroll,Village,524
Chesterville,Village,228
Choctaw Lake,Census-Designated Place,1546
Circleville,City,13314
Columbus,City,787033
Commercial Point,Village,1582
Corning,Village,583
Crooksville,Village,2534
Darbydale,Census-Designated Place,793
Darbyville,Village,222
Delaware,City,34753
Derby,Census-Designated Place,408
Dublin,City,41751
Edison,Village,437
Etna,Census-Designated Place,1215
Fairfield Beach,Census-Designated Place,1292
Fulton,Village,258
Gahanna,City,33248
Galena,Village,653
Glenford,Village,173
Grandview Heights,City,6536
Granville,Village,5646
Granville South,Census-Designated Place,1410
Gratiot,Village,221
Grove City,City,35575
Groveport,City,5363
Hanover,Village,921
Harbor Hills,Census-Designated Place,1509
Harrisburg,Village,320
Hartford,Village,397
Haydenville,Census-Designated Place,381
Heath,City,10310
Hebron,Village,2336
Hemlock,Village,155
Hide-A-Way Hills,Census-Designated Place,794
Hilliard,City,28435
Huber Ridge,Census-Designated Place,4604
Iberia,Census-Designated Place,452
Johnstown,Village,4632
Junction City,Village,819
Kilbourne,Census-Designated Place,139
Kirkersville,Village,525
Lafayette,Census-Designated Place,202
Lake Darby,Census-Designated Place,4592
Lancaster,City,38780
Laurelville,Village,527
Lincoln Village,Census-Designated Place,9032
Lithopolis,Village,1106
Lockbourne,Village,237
Logan,City,7152
Logan Elm Village,Census-Designated Place,1118
London,City,9904
Magnetic Springs,Village,268
Marble Cliff,Village,573
Marengo,Village,342
Marne,Census-Designated Place,783
Marysville,City,22094
Midway,Village,322
Milford Center,Village,792
Millersport,Village,1044
Minerva Park,Village,1272
Mount Gilead,Village,3660
Mount Sterling,Village,1782
Murray City,Village,449
New Albany,City,7724
Newark,City,47573
New California,Census-Designated Place,1411
New Holland,Village,801
New Lexington,Village,4731
New Straitsville,Village,722
Obetz,Village,4532
Orient,Village,270
Ostrander,Village,643
Pataskala,City,14962
Pickerington,City,18291
Plain City,Village,4225
Pleasantville,Village,960
Plumwood,Census-Designated Place,319
Powell,City,11500
Radnor,Census-Designated Place,201
Raymond,Census-Designated Place,257
Remaining Area of Columbus MSA,Remaining Area,427749
Rendville,Village,36
Reynoldsburg,City,35893
Richwood,Village,2229
Riverlea,Village,545
Rockbridge,Census-Designated Place,182
Roseville,Village,1852
Rushville,Village,302
Shawnee,Village,655
Shawnee Hills,Village,681
Somerset,Village,1481
South Bloomfield,Village,1744
South Solon,Village,355
Sparta,Village,161
St. Louisville,Village,373
Stoutsville,Village,560
Sugar Grove,Village,426
Sunbury,Village,4389
Tarlton,Village,282
Thornport,Census-Designated Place,1004
Thornville,Village,991
Thurston,Village,604
Unionville Center,Village,233
Upper Arlington,City,33771
Urbancrest,Village,960
Utica,Village,2132
Valleyview,Village,620
Westerville,City,36120
West Jefferson,Village,4222
West Rushville,Village,134
Whitehall,City,18062
Williamsport,Village,1023
Worthington,City,13575
Columbus,Metropolitan Statistical Area,1901965
