Calibrated,RIXS
11550.85,3.4693264270961707e-06
11551.1,5.4176318011927534e-06
11551.35,6.1772912552872495e-06
11551.6,7.326782646922345e-06
11552.0,1.1298477265307186e-05
11552.1,2.640261867644933e-06
11552.35,5.7776169664920375e-06
11552.4,8.693563072204817e-06
11552.6,4.080028417029691e-06
11552.65,1.413500062223147e-05
11552.85,8.014917647605169e-06
11553.1,3.1718013698202392e-06
11553.35,6.365223184125629e-06
11553.6,9.160466876637233e-06
11553.9,1.575384396749116e-05
11554.15,2.8662954933564563e-05
11554.35,8.33715983795523e-06
11554.6,1.2796348654347571e-05
11554.85,1.2287657848278411e-05
11555.1,1.7969967199592776e-05
11555.2,2.0781800104351032e-05
11555.35,6.853277550154441e-06
11555.6,7.686774749808482e-06
11555.85,9.144501905839563e-06
11555.9,1.2599530162090812e-05
11556.1,2.850944090135448e-06
11556.15,1.941480233526387e-05
11556.35,7.730326826257837e-06
11556.6,1.6564591007170726e-05
11556.85,6.490289731831825e-06
11557.1,8.159477109922331e-06
11557.35,7.0015831307547525e-06
11557.6,6.613269302724117e-06
11557.85,7.938670683021553e-06
11558.1,5.722677368059957e-06
11558.35,8.780903643267506e-06
11558.6,8.382211520682575e-06
11558.85,7.642924829222806e-06
11559.1,1.0167883495320607e-05
11559.35,9.84167778006742e-06
11559.6,1.1048751123594668e-05
11559.85,9.625068183666609e-06
11560.1,9.457023099251235e-06
11560.35,1.6268860778890895e-05
11560.45,2.722442312386174e-05
11560.6,9.805856768396665e-06
11560.85,1.0748019543011015e-05
11561.1,8.35412739781836e-06
11561.35,7.817660388610297e-06
11561.6,8.88541472264129e-06
11561.85,5.296648366474938e-06
11562.1,9.55279892045286e-06
11562.35,1.327982936547799e-05
11562.6,1.7945609801964297e-05
11562.85,1.0384226392526458e-05
11563.1,9.294202160869075e-06
11563.35,7.287596537339142e-06
11563.55,5.279113675027387e-06
11563.8,7.203611309099549e-06
11564.05,4.9348753250787225e-06
11564.3,7.605678238433548e-06
11564.55,5.05562963419762e-06
11564.8,5.8444848913220665e-06
11565.05,7.62876568449075e-06
11565.3,4.244290315399579e-06
11565.55,7.826560681136348e-06
11565.65,9.737532984815823e-06
11565.9,5.8660265106441635e-06
11566.05,8.054185016489838e-06
11566.3,4.4799019077856285e-06
11566.4,9.100818261070435e-06
11566.65,5.841308384903797e-06
11566.75,1.1316413061821455e-05
11567.0,5.567847025080048e-06
11567.25,7.247177644169271e-06
11567.5,4.214225576501478e-06
11567.75,7.247212463966463e-06
11568.0,1.0150823028731167e-05
11568.25,4.950737786466612e-06
