Calibrated,RIXS
11550.35,5.688555978717975e-07
11550.6,1.2260966839041123e-06
11550.85,1.218514830799369e-06
11551.1,1.987983500676149e-06
11551.5,2.3443972734347124e-05
11551.6,3.07148172390734e-07
11551.85,8.021060916715106e-07
11551.9,2.169343485429135e-06
11552.1,5.749080073482088e-07
11552.15,4.937024768875209e-06
11552.35,1.8845962758964142e-06
11552.6,5.222768004763479e-07
11552.85,1.2090526250140362e-06
11553.1,2.5323469417249224e-06
11553.4,2.8856204106282643e-06
11553.65,7.522674023385941e-06
11553.85,1.2449119780539801e-06
11554.1,2.5366743756141253e-06
11554.35,2.8543245463887617e-06
11554.6,3.6435699693409684e-06
11554.7,3.0727375868576165e-05
11554.85,1.2108949161514964e-06
11555.1,1.999184584048861e-06
11555.35,2.3045713521660246e-06
11555.4,4.395161936572948e-06
11555.6,4.4554203265813207e-07
11555.65,8.399653811640277e-06
11555.85,1.6360528974934255e-06
11556.1,5.0075936118742125e-06
11556.35,8.93950369663377e-07
11556.6,1.7503099338226908e-06
11556.85,1.5341391199354007e-06
11557.1,1.1894496834434915e-06
11557.35,2.0026050829321167e-06
11557.6,1.0252980018590462e-06
11557.85,1.6245764882265999e-06
11558.1,2.1649062127435923e-06
11558.35,1.764680486414915e-06
11558.6,3.1936476173757417e-06
11558.85,1.8670358743637462e-06
11559.1,2.8488574876000267e-06
11559.35,2.1046715183667388e-06
11559.6,2.2709425190372605e-06
11559.85,4.0953972306733456e-06
11559.95,3.314980103822212e-05
11560.1,1.1025041652322232e-06
11560.35,2.6479005011588726e-06
11560.6,1.8494356975453893e-06
11560.85,1.9562933447061983e-06
11561.1,2.434570906877663e-06
11561.35,9.247556391020901e-07
11561.6,1.837209890884488e-06
11561.85,2.8798105988342835e-06
11562.1,4.514042909340023e-06
11562.35,4.052593903860186e-06
11562.6,2.5099971943198645e-06
11562.85,2.6897756567313632e-06
11563.05,9.915169211711187e-07
11563.3,1.4468385815499143e-06
11563.55,1.0085357339173228e-06
11563.8,1.921146689882426e-06
11564.05,8.933637932486549e-07
11564.3,1.4231605070640062e-06
11564.55,1.4770278198861254e-06
11564.8,9.79332589795713e-07
11565.05,1.4535057704179086e-06
11565.15,1.53736573157761e-05
11565.4,1.4548099654482632e-05
11565.55,2.320768057302775e-06
11565.8,1.036523922795458e-06
11565.9,1.4924904714247354e-05
11566.15,1.3347654545027526e-05
