Calibrated,RIXS
11553.35,9.001927683384623e-07
11553.6,1.0245190582881299e-06
11553.85,8.976197048942906e-07
11554.1,6.263892138282935e-07
11554.5,1.4034337470427312e-07
11554.6,1.0735719358889424e-06
11554.85,3.582429860160192e-07
11554.9,4.044038740726453e-07
11555.1,6.776409139549245e-07
11555.15,1.295650084818113e-07
11555.35,2.648790197451416e-07
11555.6,6.794894800552407e-07
11555.85,5.340743654673731e-07
11556.1,3.70581428727395e-07
11556.4,5.91102947001539e-07
11556.65,2.3679122630624232e-07
11556.85,1.2292665862311626e-06
11557.1,1.4712338616444988e-06
11557.35,8.357629353708615e-07
11557.6,4.127666453180317e-07
11557.7,2.806156085796539e-07
11557.85,8.153313549091527e-07
11558.1,5.937897505798829e-07
11558.35,3.253521349008149e-07
11558.4,3.882007247830121e-07
11558.6,1.0551086547595458e-06
11558.65,1.636289765318413e-07
11558.85,8.207935020927721e-07
11559.1,3.8773691533312094e-07
11559.35,9.434874832977888e-07
11559.6,3.901697705031348e-07
11559.85,5.893396520865501e-07
11560.1,7.99379694729882e-07
11560.35,4.71010837299951e-07
11560.6,1.1636768464582173e-06
11560.85,7.434835352230234e-07
11561.1,8.475704954651697e-07
11561.35,7.677840386812754e-07
11561.6,5.530094367431256e-07
11561.85,1.357502001808922e-06
11562.1,9.051648414211809e-07
11562.35,7.464943458550886e-07
11562.6,1.5113770692836933e-06
11562.85,1.3972551304032809e-06
11562.95,9.835367423918924e-07
11563.1,3.0752863703820613e-06
11563.35,7.940609556402439e-07
11563.6,5.471251920831754e-07
11563.85,8.492078820498574e-07
11564.1,7.352730926811733e-07
11564.35,6.249837809915529e-07
11564.6,7.4888808169002e-07
11564.85,7.272010302699355e-07
11565.1,6.968900934738434e-07
11565.35,6.214950230923625e-07
11565.6,5.849178511759503e-07
11565.85,6.264251171414972e-07
11566.05,5.2380605064508e-07
11566.3,5.326190151455923e-07
11566.55,3.301361899269539e-07
11566.8,8.758482977167048e-07
11567.05,3.925386364274393e-07
11567.3,3.686701442911744e-07
11567.55,5.705937400429294e-07
11567.8,5.77540192672123e-07
11568.05,4.564154053655114e-07
11568.15,3.1643236432250407e-07
11568.4,6.326953549721471e-07
11568.55,6.195526935761413e-07
11568.8,4.358111948117266e-07
11568.9,2.9458707110060524e-07
11569.15,5.107602085294635e-07
11569.25,2.3871937040587284e-06
11569.5,1.039917780745681e-06
11569.75,9.87087325751211e-07
11570.0,8.805469297117174e-07
11570.25,4.570408615196394e-07
11570.5,6.234277930344414e-07
11570.75,5.223118154055079e-07
