MONO,Epoch,I0,I1,MPF_top,MPF_bot,FF1,FF2,FF3,DTC_FF1,DTC_FF2,DTC_FF3,RAMAN,pd1,tempC,Seconds,Seconds.1,emission,SHIFT,Calibrated,Concentration Sum,Energy Transfer,RIXS
11561.0,4791,7408,224,12536,12664,58,0,0,58,0,0,1866.289,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11701.65,9764,139.4,8.018612914899622e-07
11561.25,4792,7397,224,12481,12597,143,0,0,143,0,0,1866.539,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11701.9,9764,139.65,1.9799428192513798e-06
11561.5,4793,7404,224,12509,12611,330,0,0,330,0,0,1866.7895,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11702.15,9764,139.9,4.564779028176804e-06
11561.75,4794,7412,224,12553,12651,487,0,0,487,0,0,1867.04,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11702.4,9764,140.15,6.7292363126504335e-06
11562.0,4794,7411,224,12544,12637,872,0,0,872,0,0,1867.29,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11702.65,9764,140.4,1.2050689622825023e-05
11562.25,4795,7408,224,12527,12592,1264,0,0,1264,0,0,1867.5405,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11702.9,9764,140.65,1.747504607660883e-05
11562.5,4796,7416,225,12560,12631,1454,0,0,1454,0,0,1867.791,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11703.15,9764,140.9,2.0080148240658617e-05
11562.75,4797,7415,224,12561,12637,1285,0,0,1285,0,0,1868.041,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11703.4,9764,141.15,1.7748604075742478e-05
11563.0,4798,7416,224,12577,12639,936,0,0,936,0,0,1868.2915,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11703.65,9764,141.4,1.2926422801414349e-05
11563.25,4799,7405,224,12511,12560,629,0,0,629,0,0,1868.542,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11703.9,9764,141.65,8.699570498470175e-06
11563.5,4800,7415,225,12587,12614,307,0,0,307,0,0,1868.7925,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11704.15,9764,141.9,4.2403279776287475e-06
11563.75,4801,7416,225,12580,12591,155,0,0,155,0,0,1869.043,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11704.4,9764,142.15,2.140593519464983e-06
11564.0,4802,7414,224,12572,12579,70,0,0,70,0,0,1869.2875,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11704.65,9764,142.4,9.669804361623275e-07
11564.25,4803,7423,224,12570,12564,53,0,0,53,0,0,1869.538,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11704.9,9764,142.65,7.312546458815214e-07
11564.5,4804,7432,224,12589,12553,41,0,0,41,0,0,1869.7885,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11705.15,9764,142.9,5.65002520186851e-07
11564.75,4805,7453,224,12657,12593,42,0,0,42,0,0,1870.0385,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11705.4,9764,143.15,5.771522571078086e-07
11565.0,4806,7452,224,12593,12549,54,0,0,54,0,0,1870.289,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11705.65,9764,143.4,7.421524796798651e-07
11565.25,4807,7459,224,12571,12511,88,0,0,88,0,0,1870.5395,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11705.9,9764,143.65,1.2082986611117148e-06
11565.5,4807,7478,224,12616,12550,92,0,0,92,0,0,1870.79,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11706.15,9764,143.9,1.2600117520748284e-06
11565.75,4808,7485,223,12607,12511,120,0,0,120,0,0,1871.0405,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11706.4,9764,144.15,1.6419565883097616e-06
11566.0,4809,7491,224,12615,12522,146,0,0,146,0,0,1871.291,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11706.65,9764,144.4,1.9961137579214957e-06
11566.25,4810,7497,224,12565,12465,197,0,0,197,0,0,1871.5415,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11706.9,9764,144.65,2.6912308006638406e-06
11566.5,4811,7497,224,12541,12462,244,0,0,244,0,0,1871.792,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11707.15,9764,144.9,3.3333010932080054e-06
11566.75,4812,7507,224,12598,12524,271,0,0,271,0,0,1872.043,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11707.4,9764,145.15,3.6972183875139993e-06
11567.0,4813,7506,224,12599,12525,264,0,0,264,0,0,1872.2875,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11707.65,9764,145.4,3.6021981267914796e-06
11567.25,4814,7512,224,12590,12533,290,0,0,290,0,0,1872.538,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11707.9,9764,145.65,3.953799552288099e-06
11567.5,4815,7501,224,12541,12507,246,0,0,246,0,0,1872.7885,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11708.15,9764,145.9,3.3588311398709586e-06
11567.75,4816,7504,224,12553,12515,261,0,0,261,0,0,1873.0395,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11708.4,9764,146.15,3.5622132213631907e-06
11568.0,4817,7505,224,12563,12516,185,0,0,185,0,0,1873.29,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11708.65,9764,146.4,2.524603971515917e-06
11568.25,4818,7506,224,12544,12513,166,0,0,166,0,0,1873.5405,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11708.9,9764,146.65,2.265018519118885e-06
11568.5,4819,7509,224,12563,12537,153,0,0,153,0,0,1873.791,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11709.15,9764,146.9,2.0868034965988375e-06
11568.75,4819,7505,223,12554,12550,139,0,0,139,0,0,1874.0415,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11709.4,9764,147.15,1.8968646056254727e-06
11569.0,4820,7497,223,12510,12501,110,0,0,110,0,0,1874.2925,-1,22.02438,0.6,0.6,11562.25,140.64999999999964,11709.65,9764,147.4,1.5027177059544287e-06
