mono,Epoch,I0,I1,MPF_top,MPF_bot,FF1,FF2,FF3,DTC_FF1,DTC_FF2,DTC_FF3,EMISSION,RAMAN,pd1,tempC,Seconds,Seconds
11551.502,11632,7421,227,12526,12633,18,0,0,18,0,0,11552.848,1856.792,-1,22.02438,0.6,0.6
11551.752,11633,7420,228,12515,12613,47,0,0,47,0,0,11552.848,1857.042,-1,22.02438,0.6,0.6
11552.002,11634,7434,228,12589,12652,155,0,0,155,0,0,11552.848,1857.292,-1,22.02438,0.6,0.6
11552.252,11635,7430,228,12548,12610,339,0,0,339,0,0,11552.848,1857.5415,-1,22.02438,0.6,0.6
11552.502,11636,7418,228,12536,12559,683,0,0,683,0,0,11552.848,1857.7915,-1,22.02438,0.6,0.6
11552.752,11637,7430,228,12591,12602,1296,0,0,1296,0,0,11552.848,1858.0415,-1,22.02438,0.6,0.6
11553.002,11638,7427,228,12593,12583,1646,0,0,1646,0,0,11552.848,1858.2915,-1,22.02438,0.6,0.6
11553.252,11639,7425,228,12580,12581,1568,0,0,1568,0,0,11552.848,1858.5415,-1,22.02438,0.6,0.6
11553.502,11640,7423,228,12582,12569,1154,0,0,1154,0,0,11552.848,1858.7915,-1,22.02438,0.6,0.6
11553.751,11641,7422,227,12562,12558,704,0,0,704,0,0,11552.848,1859.041,-1,22.02438,0.6,0.6
11554.001,11642,7418,228,12548,12555,380,0,0,380,0,0,11552.848,1859.291,-1,22.02438,0.6,0.6
11554.251,11643,7420,228,12556,12562,161,0,0,161,0,0,11552.848,1859.541,-1,22.02438,0.6,0.6
11554.501,11644,7431,228,12639,12626,63,0,0,63,0,0,11552.848,1859.791,-1,22.02438,0.6,0.6
11554.751,11644,7423,228,12582,12591,21,0,0,21,0,0,11552.848,1860.041,-1,22.02438,0.6,0.6
11555.001,11645,7425,228,12585,12588,14,0,0,14,0,0,11552.848,1860.291,-1,22.02438,0.6,0.6
11555.251,11646,7421,227,12549,12566,3,0,0,3,0,0,11552.848,1860.541,-1,22.02438,0.6,0.6
11555.501,11647,7417,228,12538,12546,5,0,0,5,0,0,11552.848,1860.791,-1,22.02438,0.6,0.6
11555.751,11648,7426,228,12600,12605,16,0,0,16,0,0,11552.848,1861.041,-1,22.02438,0.6,0.6
11556.002,11649,7424,228,12547,12582,10,0,0,10,0,0,11552.848,1861.2915,-1,22.02438,0.6,0.6
11556.252,11650,7429,228,12593,12602,8,0,0,8,0,0,11552.848,1861.5415,-1,22.02438,0.6,0.6
11556.502,11651,7417,228,12527,12544,7,0,0,7,0,0,11552.848,1861.7915,-1,22.02438,0.6,0.6
11556.752,11652,7421,227,12545,12552,14,0,0,14,0,0,11552.848,1862.0415,-1,22.02438,0.6,0.6
11557.002,11653,7425,227,12562,12574,15,0,0,15,0,0,11552.848,1862.2915,-1,22.02438,0.6,0.6
11557.252,11654,7430,228,12607,12600,27,0,0,27,0,0,11552.848,1862.5415,-1,22.02438,0.6,0.6
11557.502,11655,7423,227,12571,12581,25,0,0,25,0,0,11552.848,1862.792,-1,22.02438,0.6,0.6
