Calibrated,Energy Transfer,RIXS
11568.0,-0.75,2.8956818737435233e-06
11568.25,-0.5,4.950737786466612e-06
11568.5,-0.25,8.828752989970126e-06
11568.75,0.0,1.492517276479744e-05
11569.0,0.25,1.9077398032890702e-05
11569.25,0.5,1.708909886225491e-05
11569.5,0.75,1.3932962051260963e-05
11569.75,1.0,9.619339936082017e-06
11570.0,1.25,5.328922608863406e-06
11570.25,1.5,2.3557964054341424e-06
11570.5,1.75,1.2508847238474047e-06
11570.75,2.0,5.223118154055079e-07
11571.0,2.25,3.004838580862183e-07
11571.25,2.5,2.3725580446325618e-07
11571.5,2.75,2.0553928369559631e-07
11571.75,3.0,2.5293763348388396e-07
11572.0,3.25,3.008456930772239e-07
11572.25,3.5,2.8504984809218514e-07
11572.5,3.75,4.906565538657801e-07
11572.75,4.0,5.38860136474254e-07
11573.0,4.25,3.4839425877933733e-07
11573.25,4.5,4.5887854829815397e-07
11573.5,4.75,5.067552854972179e-07
11573.75,5.0,4.746384836882575e-07
11574.0,5.25,3.490949712869386e-07
11574.25,5.5,4.4299591810904024e-07
11574.5,5.75,4.2706044803386115e-07
11574.75,6.0,4.906565538657801e-07
11575.0,6.25,2.0581425263699512e-07
11575.25,6.5,2.5327596632696026e-07
11575.5,6.75,1.8985539347530298e-07
11575.75,7.0,9.494038930306633e-08
11576.0,7.25,1.1079341538904712e-07
11576.25,7.5,1.1076378752024406e-07
11576.5,7.75,1.4252492404609257e-07
11576.75,8.0,2.374144615479581e-07
11577.0,8.25,1.4242962789468436e-07
11577.25,8.5,2.056491830586203e-07
11577.5,8.75,1.9016046373798422e-07
11577.75,9.0,2.850117092310542e-07
11578.0,9.25,1.2667187076935745e-07
11578.25,9.5,2.057316847367663e-07
11578.5,9.75,2.3760513036997498e-07
11578.75,10.0,1.9036438916826625e-07
11579.0,10.25,2.849735805743009e-07
11579.25,10.5,3.4825445369957035e-07
11579.5,10.75,2.535133383666294e-07
11579.75,11.0,3.3282537841056863e-07
11580.0,11.25,2.693218633904454e-07
11580.25,11.5,2.3776425515591786e-07
11580.5,11.75,2.849735805743009e-07
11580.75,12.0,2.2179447573330798e-07
11581.0,12.25,2.5347940083806627e-07
11581.25,12.5,2.852025056624581e-07
11581.5,12.75,2.851643259428246e-07
11581.75,13.0,2.853935577160905e-07
11582.0,13.25,1.9008410429597994e-07
11582.25,13.5,1.424105839545995e-07
11582.5,13.75,1.5836102671788063e-07
11700.5,131.75,1.894754293789548e-07
11700.7,131.95,2.0534724218653743e-07
11700.9,132.15,2.3728751891379267e-07
11701.1,132.35,2.852025056624581e-07
11701.3,132.55,1.2707994122552718e-07
11701.5,132.75,2.391093654356254e-07
11701.7,132.95,1.9208959058504888e-07
11701.9,133.15,2.5684904018724297e-07
11702.1,133.35,2.883293874922712e-07
11702.3,133.55,2.3833887338803476e-07
11702.5,133.75,2.2191330481219e-07
11702.7,133.95,2.84821167909199e-07
11702.9,134.15,2.2250936526024854e-07
11703.1,134.35,2.8786182632336477e-07
11703.3,134.55,9.630532640684024e-08
11703.5,134.75,2.2428654849435638e-07
11703.7,134.95,1.9097879817042312e-07
