Excitation,Energy Transfer,Intensity
11568.0,1.0,2.8956818737435237e-06
11568.25,1.0,4.950737786466612e-06
11568.5,1.0,8.828752989970126e-06
11568.75,1.0,1.492517276479744e-05
11569.0,1.0,1.9077398032890705e-05
11569.25,1.0,1.7089098862254912e-05
11569.5,1.0,1.3932962051260965e-05
11569.75,1.0,9.619339936082015e-06
11570.0,1.25,5.328922608863407e-06
11570.25,1.5,2.355796405434143e-06
11570.5,1.75,1.250884723847405e-06
11570.75,2.0,5.223118154055079e-07
11571.0,2.25,3.004838580862183e-07
11571.25,2.5,2.3725580446325613e-07
11571.5,2.75,2.0553928369559634e-07
11571.75,3.0,2.52937633483884e-07
11572.0,3.25,3.0084569307722393e-07
11572.25,3.5,2.8504984809218514e-07
11572.5,3.75,4.906565538657801e-07
11572.75,4.0,5.388601364742539e-07
11573.0,4.25,3.4839425877933733e-07
11573.25,4.5,4.5887854829815397e-07
11573.5,4.75,5.067552854972178e-07
11573.75,5.0,4.746384836882575e-07
11574.0,5.25,3.490949712869386e-07
11574.25,5.5,4.429959181090402e-07
11574.5,5.75,4.2706044803386115e-07
11574.75,6.0,4.906565538657801e-07
11575.0,6.25,2.0581425263699512e-07
11575.25,6.5,2.532759663269602e-07
11575.5,6.75,1.8985539347530295e-07
11575.75,7.0,9.494038930306632e-08
11576.0,7.25,1.1079341538904712e-07
11576.25,7.5,1.1076378752024407e-07
11576.5,7.75,1.4252492404609254e-07
11576.75,8.0,2.374144615479581e-07
11577.0,8.25,1.4242962789468436e-07
11577.25,8.5,2.056491830586203e-07
11577.5,8.75,1.9016046373798425e-07
11577.75,9.0,2.850117092310542e-07
11578.0,9.25,1.2667187076935745e-07
11578.25,9.5,2.057316847367663e-07
11578.5,9.75,2.3760513036997495e-07
11578.75,10.0,1.9036438916826625e-07
11579.0,10.25,2.849735805743009e-07
11579.25,10.5,3.4825445369957035e-07
11579.5,10.75,2.535133383666294e-07
11579.75,11.0,3.3282537841056863e-07
