,AIRLINE,ORIGIN_AIRPORT,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,DEPARTURE_DELAY,ARRIVAL_DELAY,DIVERTED,CANCELLED,ARRIVED_LATE,DEPARTED_LATE,AIRPORT_COUNT
0,AA,ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60918999999998,14985.0,12108.0,4,43,227,203,1867
10,AA,ALB,Albany International Airport,Albany,NY,USA,42.74812,-73.80298,1017.0,-1750.0,0,4,34,25,346
18,AA,ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,USA,61.174319999999994,-149.99618999999998,5634.0,3301.0,0,4,51,55,272
24,AA,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.640440000000005,-84.42694,48247.0,14751.0,21,110,954,834,7498
35,AA,AUS,Austin-Bergstrom International Airport,Austin,TX,USA,30.19453,-97.66986999999999,63857.0,26485.0,11,210,1007,1055,8044
46,AA,BDL,Bradley International Airport,Windsor Locks,CT,USA,41.93887,-72.68323000000001,8196.0,-1583.0,6,25,216,168,1821
55,AA,BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,USA,33.562940000000005,-86.75355,3767.0,3027.0,1,5,30,30,227
61,AA,BNA,Nashville International Airport,Nashville,TN,USA,36.12448,-86.67818,31291.0,14305.0,7,89,525,495,4010
71,AA,BOI,Boise Airport (Boise Air Terminal),Boise,ID,USA,43.564440000000005,-116.22278,1811.0,1197.0,0,2,38,36,359
77,AA,BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,USA,42.36435,-71.00518000000001,87924.0,-5722.0,52,401,2295,1925,17629
88,AA,BUF,Buffalo Niagara International Airport,Buffalo,NY,USA,42.94052,-78.73217,1407.0,-1311.0,0,4,38,44,541
97,AA,BWI,Baltimore-Washington International Airport,Baltimore,MD,USA,39.1754,-76.6682,38057.0,18628.0,13,55,580,551,4124
108,AA,CHS,Charleston International Airport/Charleston AFB,Charleston,SC,USA,32.89865,-80.04051,-182.0,-856.0,0,0,7,9,141
118,AA,CLE,Cleveland Hopkins International Airport,Cleveland,OH,USA,41.41089,-81.8494,13221.0,1935.0,5,32,206,221,1799
129,AA,CLT,Charlotte Douglas International Airport,Charlotte,NC,USA,35.214009999999995,-80.94313000000001,363190.0,265373.0,71,233,7116,6005,41751
139,AA,CMH,Port Columbus International Airport,Columbus,OH,USA,39.99799,-82.89188,13028.0,-317.0,13,38,225,202,1922
147,AA,COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,USA,38.80581,-104.70025,7393.0,4035.0,4,24,138,118,1080
