IATA_CODE,AIRLINE,DEPARTURE_DELAY,ARRIVAL_DELAY,DIVERTED,CANCELLED,ARRIVED_LATE,DEPARTED_LATE,TOTAL_FLIGHTS
WN,Southwest Airlines Co.,13186520.0,5435468.0,3409,16043,194946,216179,1261855
EV,Atlantic Southeast Airlines,4857338.0,3653252.0,1994,15231,92020,83880,571977
OO,Skywest Airlines Inc.,4517510.0,3371854.0,1579,9960,89918,83454,588353
UA,United Air Lines Inc.,7355348.0,2757957.0,1388,6573,89375,101079,515723
AA,American Airlines Inc.,6369435.0,2460604.0,2130,10919,108150,104828,725984
MQ,American Eagle Airlines Inc.,2837908.0,1800397.0,816,15025,52143,48652,294632
B6,JetBlue Airways,3026467.0,1749880.0,730,4276,50532,49314,267048
NK,Spirit Air Lines,1840887.0,1667050.0,182,2004,29476,27360,117379
F9,Frontier Airlines Inc.,1205449.0,1126549.0,158,588,20149,17850,90836
US,US Airways Inc.,1196447.0,719831.0,425,4067,29396,24303,198715
VX,Virgin America,553852.0,290175.0,121,534,9861,9285,61903
DL,Delta Air Lines Inc.,6427294.0,162527.0,1782,3824,96681,100528,875881
HA,Hawaiian Airlines Inc.,36972.0,153838.0,60,171,6051,4152,76272
AS,Alaska Airlines Inc.,306997.0,-167421.0,413,669,17393,15282,172521
