game,Date,Opponent,Home,HOU_SCORE,OPP_SCORE,WIN,pitch_url,Youtube search,game_url,,
1,"MARCH 29, 2018",TEX,0,4,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529411&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=&view=Umpire&coloring=Pitch%20Type,"HOU AT TEX - MARCH 29, 2018",missing,,
2,"MARCH 30, 2018",TEX,0,1,5,0,https://baseballsavant.mlb.com/gamefeed?game_pk=529424&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=&view=Umpire&coloring=Pitch%20Type,"HOU AT TEX - MARCH 30, 2018",https://www.youtube.com/watch?v=FNK5h7cCdCE,,
3,"MARCH 31, 2018",TEX,0,9,3,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529435&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_445926&view=Umpire&coloring=Pitch%20Type,"HOU AT TEX - MARCH 31, 2018",https://www.youtube.com/watch?v=PUwWrPm4xtg,,
4,"APRIL 01, 2018",TEX,0,8,2,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529449&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_448178&view=Umpire&coloring=Pitch%20Type,"HOU AT TEX - APRIL 01, 2018",missing,,
5,"APRIL 02, 2018",BAL,1,6,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529457&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_450203&view=Umpire&coloring=Pitch%20Type,"BAL AT HOU - APRIL 02, 2018",https://www.youtube.com/watch?v=lZykVx-wY0U,,
6,"APRIL 03, 2018",BAL,1,10,6,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529471&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=&view=Umpire&coloring=Pitch%20Type,"BAL AT HOU - APRIL 03, 2018",https://www.youtube.com/watch?v=M5mtji_TSA4,,
7,"APRIL 04, 2018",BAL,1,3,2,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529484&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_444468&view=Umpire&coloring=Pitch%20Type,"BAL AT HOU - APRIL 04, 2018",https://www.youtube.com/watch?v=5tXDAr9RV0A,,
8,"APRIL 06, 2018",SDN,1,1,4,0,https://baseballsavant.mlb.com/gamefeed?game_pk=529515&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_448609&view=Umpire&coloring=Pitch%20Type,"SDN AT HOU - APRIL 06, 2018",missing,,
9,"APRIL 07, 2018",SDN,1,1,0,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529528&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_501789&view=Umpire&coloring=Pitch%20Type,"SDN AT HOU - APRIL 07, 2018",missing,,
10,"APRIL 08, 2018",SDN,1,4,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529543&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_450203&view=Umpire&coloring=Pitch%20Type,"SDN AT HOU - APRIL 08, 2018",https://www.youtube.com/watch?v=h2n1VtHCBvU,,
11,"APRIL 09, 2018",MIN,0,2,0,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529551&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_458681&view=Umpire&coloring=Pitch%20Type,"HOU AT MIN - APRIL 09, 2018",https://www.youtube.com/watch?v=tvQn5lOTaNc,,
12,"APRIL 10, 2018",MIN,0,1,4,0,https://baseballsavant.mlb.com/gamefeed?game_pk=529564&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_407845&view=Umpire&coloring=Pitch%20Type,"HOU AT MIN - APRIL 10, 2018",https://www.youtube.com/watch?v=0cmGIeb3rXI,,
13,"APRIL 11, 2018",MIN,0,8,9,0,https://baseballsavant.mlb.com/gamefeed?game_pk=529578&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_407845&view=Umpire&coloring=Pitch%20Type,"HOU AT MIN - APRIL 11, 2018",https://www.youtube.com/watch?v=v8iaKSmx0GY,,
14,"APRIL 13, 2018",TEX,1,3,2,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529610&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_501789&view=Umpire&coloring=Pitch%20Type,"TEX AT HOU - APRIL 13, 2018",https://www.youtube.com/watch?v=sv404VWuPf4,,
15,"APRIL 14, 2018",TEX,1,5,6,0,https://baseballsavant.mlb.com/gamefeed?game_pk=529625&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_444468&view=Umpire&coloring=Pitch%20Type,"TEX AT HOU - APRIL 14, 2018",https://www.youtube.com/watch?v=92012xZDx84,,
16,"APRIL 15, 2018",TEX,1,1,3,0,https://baseballsavant.mlb.com/gamefeed?game_pk=529640&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_434378&view=Umpire&coloring=Pitch%20Type,"TEX AT HOU - APRIL 15, 2018",missing,,
17,"APRIL 16, 2018",SEA,0,1,2,0,https://baseballsavant.mlb.com/gamefeed?game_pk=529646&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_504379&view=Umpire&coloring=Pitch%20Type,"HOU AT SEA - APRIL 16, 2018",https://www.youtube.com/watch?v=szjxbYAEhxw,,
18,"APRIL 17, 2018",SEA,0,4,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529660&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_453281&view=Umpire&coloring=Pitch%20Type,"HOU AT SEA - APRIL 17, 2018",https://www.youtube.com/watch?v=TxrCJNL8NDE,,
19,"APRIL 18, 2018",SEA,0,7,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529685&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_453281&view=Umpire&coloring=Pitch%20Type,"HOU AT SEA - APRIL 18, 2018",https://www.youtube.com/watch?v=wVZmrmommZU,,
20,"APRIL 19, 2018",SEA,0,9,2,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529685&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_453281&view=Umpire&coloring=Pitch%20Type,"HOU AT SEA - APRIL 19, 2018",https://www.youtube.com/watch?v=7CBmpPXadgQ,,
21,"APRIL 20, 2018",CHA,0,10,0,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529695&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_448306&view=Umpire&coloring=Pitch%20Type,"HOU AT CHA - APRIL 20, 2018",https://www.youtube.com/watch?v=5qJY45TrHGc,,
22,"APRIL 21, 2018",CHA,0,10,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529710&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_458690&view=Umpire&coloring=Pitch%20Type,"HOU AT CHA - APRIL 21, 2018",https://www.youtube.com/watch?v=6iMFkMPBOf4,,
