artist,album,title,duration,playcount,rating,rating_interpretation
Los Campesinos!,"Hold On Now, Youngster",... And We Exhale And Roll Our Eyes In Unison,2:49,1,0,not-rated
The Steinways,Missed The Boat,... But You're Really Nice,0:17,2,undefined,never-rated
Titus Andronicus,The Most Lamentable Tragedy,[ intermission ],1:17,1,undefined,never-rated
A Giant Dog,Pile,& Rock & Roll,2:56,36,5,thumbs-up
Titus Andronicus,The Most Lamentable Tragedy,[ seven seconds ],0:07,,undefined,never-rated
M83,Before The Dawn Heals Us,*,2:45,1,0,not-rated
"Hop Along, Queen Ansleis",Freshman Year,-,0:25,16,0,not-rated
Zt,What Are Stitches To A Tough Guy,------------,2:59,,0,not-rated
Ceremony,In the Spirit World Now,/,0:19,1,undefined,never-rated
Ceremony,In the Spirit World Now,//,0:17,1,undefined,never-rated
Ceremony,In the Spirit World Now,///,0:11,1,undefined,never-rated
Andrew Bird,Andrew Bird & The Mysterious Production Of Eggs,/=/,1:06,,0,not-rated
Andrew Bird,Andrew Bird & The Mysterious Production Of Eggs,/=/=/,1:09,,0,not-rated
Bon Iver,"22, A Million",00000 Million,3:54,1,undefined,never-rated
M83,"Dead Cities, Red Seas & Lost Ghosts",0078h,4:02,1,0,not-rated
punktastic,,01 Fight Two Demons (Dog & Wolf),2:26,5,0,not-rated
The Magnetic Fields,50 Song Memoir,'01: Have You Seen It in the Snow?,2:51,2,undefined,never-rated
Waxahatchee,Cerulean Salt,01 Hollow Bedroom.mp3,1:51,3,0,not-rated
Mudhoney,Bite the Curb,01 - Ritzville_[plixid.com].mp3,2:47,,0,not-rated
Strange Ranger,Remembering the Rockets,'02,1:41,1,undefined,never-rated
The Magnetic Fields,50 Song Memoir,'02: Be True to Your Bar,3:34,,undefined,never-rated
Waxahatchee,Cerulean Salt,02 Dixie Cups and Jars.mp3,3:36,2,0,not-rated
Mudhoney,Bite the Curb,02 - I Want To Live_[plixid.com].mp3,2:31,,0,not-rated
punktastic,,02 Rumplestiltskin's A Good Man,2:47,2,0,not-rated
Yoshinori Hayashi,Ambivalence,208,13:24,1,undefined,never-rated
