song_id,artist,album,title,duration,playcount,rating,rating_interpretation
0,Los Campesinos!,"Hold On Now, Youngster",... And We Exhale And Roll Our Eyes In Unison,2:49,1.0,0,not-rated
1,The Steinways,Missed The Boat,... But You're Really Nice,0:17,2.0,undefined,never-rated
2,Titus Andronicus,The Most Lamentable Tragedy,[ intermission ],1:17,1.0,undefined,never-rated
3,A Giant Dog,Pile,& Rock & Roll,2:56,36.0,5,thumbs-up
4,Titus Andronicus,The Most Lamentable Tragedy,[ seven seconds ],0:07,,undefined,never-rated
5,M83,Before The Dawn Heals Us,*,2:45,1.0,0,not-rated
6,"Hop Along, Queen Ansleis",Freshman Year,-,0:25,16.0,0,not-rated
7,Zt,What Are Stitches To A Tough Guy,------------,2:59,,0,not-rated
8,Ceremony,In the Spirit World Now,/,0:19,1.0,undefined,never-rated
9,Ceremony,In the Spirit World Now,//,0:17,1.0,undefined,never-rated
10,Ceremony,In the Spirit World Now,///,0:11,1.0,undefined,never-rated
11,Andrew Bird,Andrew Bird & The Mysterious Production Of Eggs,/=/,1:06,,0,not-rated
12,Andrew Bird,Andrew Bird & The Mysterious Production Of Eggs,/=/=/,1:09,,0,not-rated
13,Bon Iver,"22, A Million",00000 Million,3:54,1.0,undefined,never-rated
14,M83,"Dead Cities, Red Seas & Lost Ghosts",0078h,4:02,1.0,0,not-rated
15,punktastic,,01 Fight Two Demons (Dog & Wolf),2:26,5.0,0,not-rated
16,The Magnetic Fields,50 Song Memoir,'01: Have You Seen It in the Snow?,2:51,2.0,undefined,never-rated
17,Strange Ranger,Remembering the Rockets,'02,1:41,1.0,undefined,never-rated
18,The Magnetic Fields,50 Song Memoir,'02: Be True to Your Bar,3:34,,undefined,never-rated
19,punktastic,,02 Rumplestiltskin's A Good Man,2:47,2.0,0,not-rated
20,Yoshinori Hayashi,Ambivalence,208,13:24,1.0,undefined,never-rated
21,punktastic,,03 Laundromat Sensei (Tens),2:22,5.0,0,not-rated
22,The Magnetic Fields,50 Song Memoir,'05: Never Again,3:19,,undefined,never-rated
23,The Magnetic Fields,50 Song Memoir,"'06: ""Quotes""",2:17,,undefined,never-rated
24,Bibio,Phantom Brickworks,9:13,7:03,1.0,undefined,never-rated
25,Animal Collective,Strawberry Jam,#1,4:32,3.0,0,not-rated
26,Swearin',Swearin',1,1:04,,0,not-rated
27,BC Unidos,Otro Mundo Es Posible,"1, 2, 3 in French  (feat. Howlin' Pelle)",2:48,1.0,undefined,never-rated
28,Pearl Jam,Riot Act,1/2 Full,4:11,,0,not-rated
29,Remember Sports,Slow Buzz,The 1 Bad Man,2:15,2.0,undefined,never-rated
30,Jay Som,Everybody Works,1 Billion Dogs,2:44,2.0,undefined,never-rated
31,The Mountain Goats,The Life Of The World To Come,1 John 4:16,3:09,,0,not-rated
32,The Mountain Goats,The Life Of The World To Come,1 Samuel 15:23,4:06,,0,not-rated
33,dummy,bunny,1 yr,2:28,,0,not-rated
34,The Prettiots,Funs Cool,10/10 Would Chill Again,2:38,1.0,undefined,never-rated
35,Bon Iver,"22, A Million",10 d E A T h b R E a s T ⚄ ⚄,2:24,5.0,undefined,never-rated
36,Tapes 'n Tapes,The Loon,10 Gallon Ascots,5:02,,0,not-rated
37,La Sera,Hour Of The Dawn,10 Headed Goat Wizard,2:38,21.0,0,not-rated
38,Beach House,Teen Dream,10 Mile Stereo,5:06,1.0,0,not-rated
39,Tennis,Yours Conditionally,10 Minutes 10 Years,3:11,,undefined,never-rated
40,Mates Of State,Our Constant Concern,10 Years Later,3:08,,0,not-rated
41,Tennis,Small Sound (EP),100 Lovers,2:51,1.0,0,not-rated
42,Seaholm,Stay Young Forever,100 Meter Dash,2:26,,undefined,never-rated
43,Sammus,Pieces In Space,100 Percent (feat. Latasha Alcindor aka LA),4:07,1.0,undefined,never-rated
44,Vagabon,Infinite Worlds,100 Years,2:08,2.0,undefined,never-rated
45,Mogwai,Every Country's Sun,1000 Foot Face,4:31,,undefined,never-rated
46,Laura Veirs,case/lang/veirs,"1,000 Miles Away",2:57,6.0,undefined,never-rated
47,Aesop Rock,Skelethon,"1,000 O'Clock",3:58,,0,not-rated
48,Superchunk,Come Pick Me Up,1000 Pounds,3:09,,0,not-rated
49,Moonface,With Siinai: Heartbreaking Bravery,"10,000 Scorpions",2:10,3.0,0,not-rated
50,The Magnetic Fields,The Wayward Bus/Distant Plastic Trees,"100,000 Fireflies",3:20,,0,not-rated
51,Tegan And Sara,Love You to Death,100x,3:02,1.0,undefined,never-rated
52,The Pains Of Being Pure At Heart,Higher Than The Stars,103,2:04,,0,not-rated
53,Sammus,Pieces In Space,1080p (feat. Jean Grae),4:42,,undefined,never-rated
54,Guards,In Guards We Trust,1&1,5:18,,0,not-rated
55,Martha,Blisters In The Pit Of My Heart,"11:45, Legless In Brandon",3:07,1.0,undefined,never-rated
56,punktastic,,11 Run - By Fruiting,2:04,,0,not-rated
57,The Strokes,Room On Fire,12:51,2:34,,0,not-rated
58,The Front Bottoms,Rose,12 Feet Deep,3:45,2.0,undefined,never-rated
59,Japanese Breakfast,Soft Sounds from Another Planet,12 Steps,2:37,5.0,undefined,never-rated
60,The Magnetic Fields,50 Song Memoir,'12: You Can Never Go Back to New York,3:12,,undefined,never-rated
61,Elvis Perkins In Dearland,Elvis Perkins In Dearland,123 Goodbye,3:49,,0,not-rated
62,Choji Moji,It's a Hit (A Piano Tribute to Rilo Kiley),13,3:55,3.0,undefined,never-rated
63,The Magnetic Fields,50 Song Memoir,'13: Big Enough for Both of Us,3:03,1.0,undefined,never-rated
64,The Walkmen,Bows + Arrows,138th Street,3:00,,0,not-rated
65,Brittany Howard,Jaime,13th Century Metal,4:47,3.0,undefined,never-rated
66,WU LYF,Go Tell Fire To The Mountain,14 Crowns For Me & Your Friends,4:42,,0,not-rated
67,Dávila 666,"Puñales, píldoras y otras formas de entretenerse",15,8:01,,0,not-rated
68,Jason Lytle,Arthur King Presents Jason Lytle: NYLONANDJUNO,15 Items Or Lesson You,5:18,1.0,undefined,never-rated
69,The Strokes,First Impressions Of Earth,15 Minutes,4:34,,0,not-rated
70,Houndmouth,Little Neon Limelight,15 Years,3:07,1.0,undefined,never-rated
71,Angry Angles,Angry Angles,The 15th,3:07,1.0,undefined,never-rated
72,Caves,Always Why,16,2:08,4.0,undefined,never-rated
73,The Decemberists,Picaresque,16 Military Wives,4:53,,0,not-rated
74,Tom Waits,Swordfishtrombones,16 Shells From A Thirty-Ought-Six,4:32,,0,not-rated
75,Cool American,"Better Luck Next Year, Vol 3",17,4:56,2.0,5,thumbs-up
76,John K. Samson,Winter Wheat,17th Street Treatment Centre,2:29,6.0,undefined,never-rated
77,The Prettiots,Funs Cool,18 Wheeler,2:46,2.0,undefined,never-rated
78,tricot,3,"18,19",4:01,1.0,undefined,never-rated
79,Radiator Hospital,Torch Song,181935,2:16,1.0,undefined,never-rated
80,Versing,Nude Descending,1896,4:33,,undefined,never-rated
81,Gorillaz,Gorillaz,19-2000,3:31,,0,not-rated
82,The Tallest Man On Earth,There's No Leaving Now,1904,3:59,,0,not-rated
83,The Fiery Furnaces,Blueberry Boat,1917,4:52,,0,not-rated
84,Car Seat Headrest,Teens Of Denial,1937 State Park,4:00,23.0,undefined,never-rated
85,The Sidekicks,Awkward Breeds,1940's Fighter Jet,2:47,,undefined,never-rated
86,Danny Norbury,Light in August,1983,3:34,4.0,undefined,never-rated
87,Crystal Castles,Crystal Castles,1991,1:53,,0,not-rated
88,Hovvdy,Heavy Lifter,1999,2:58,1.0,undefined,never-rated
89,Lawrence Principe,Science And Religion [Disc 1],1A. Science And Religion,2:29,,0,not-rated
90,Sincere Engineer,Rhombithian,1K Rats,2:31,46.0,undefined,never-rated
91,Noah and The Whale,"Peaceful, The World Lays Me Down",2 Atoms In A Molecule,2:05,5.0,0,not-rated
92,The Russian Futurists,"Me, Myself and Rye",2 Dots On A Map,4:19,2.0,0,not-rated
93,Cymbals Eat Guitars,LOSE,2 Hip Soul,6:19,2.0,0,not-rated
94,Lucinda Williams,Car Wheels On A Gravel Road,2 Kool 2 Be 4-Gotten,4:42,11.0,undefined,never-rated
95,The Cure,Disintegration (Deluxe Edition),2 Late [(Alt. Version)-Band Demo (instrumental)-09/88],2:52,1.0,undefined,never-rated
96,Mogwai,Rock Action,2 Rights Make 1 Wrong,9:29,2.0,0,not-rated
97,Lightning Bolt,Wonderful Rainbow,2 Towers,7:07,,0,not-rated
98,CityCop,Nesh,20/20,3:29,1.0,undefined,never-rated
99,Gladie,Everyone Is Talking but You,20 / 20,3:47,3.0,undefined,never-rated
100,Mogwai,Every Country's Sun,20 Size,4:44,,undefined,never-rated
101,"Perspective, a Lovely Hand to Hold",Autonomy,2003,2:30,12.0,5,thumbs-up
102,Shin Guard,2020,2007,3:51,,undefined,never-rated
103,Los Campesinos!,"Hold On Now, Youngster","2007, The Year Punk Broke (My Heart)",4:44,3.0,0,not-rated
104,Kitten Forever,7 Hearts,200x,1:39,3.0,5,thumbs-up
105,Adult Mom,Momentary Lapse of Happily,2012,3:05,1.0,undefined,never-rated
106,Sunflower Bean,Human Ceremony,2013,3:31,2.0,undefined,never-rated
107,Vampire Weekend,Father of the Bride,2021,1:38,2.0,undefined,never-rated
108,Squarehead,RESPECT,2025,3:37,6.0,0,not-rated
109,Japanese Breakfast,"Polyvinyl 4-Track Singles Series, Vol. 3",2042,3:20,1.0,undefined,never-rated
110,of Montreal,UR FUN,20th Century Schizofriendic Revengoid-man,3:23,,undefined,never-rated
111,Bon Iver,"22, A Million",21 M◊◊N WATER,3:08,3.0,undefined,never-rated
112,Bon Iver,"22, A Million",22 (OVER S∞∞N),2:48,5.0,undefined,never-rated
113,Low Roar,ross.,222,3:50,1.0,undefined,never-rated
114,Yeasayer,Erotic Reruns,24-Hour Hateful Live,2:51,,undefined,never-rated
115,Origami Angel,Broke Minecraft,24 Hr Delivery / KD MVP,4:33,2.0,undefined,never-rated
116,The Courtneys,The Courtneys II,25,3:19,2.0,undefined,never-rated
117,Oh Rose,While My Father Sleeps,"25, Alive",2:43,2.0,undefined,never-rated
118,Paramore,After Laughter,26,3:41,7.0,undefined,never-rated
119,Bon Iver,"22, A Million",29 #Strafford APTS,4:05,3.0,undefined,never-rated
120,Bigger Better Sun,Comfort Foods,2k,4:31,3.0,undefined,never-rated
121,Ted Leo and The Pharmacists,Hearts Of Oak,"2nd Ave, 11 A.M.",3:32,,0,not-rated
122,Cloud District,"Don't Give Up, Skeleton",2sad2swim,3:24,5.0,undefined,never-rated
123,Pllush,Stranger to the Pain,3:45,4:37,2.0,undefined,never-rated
124,Soccer Mommy,Collection,3 AM at a Party,2:33,7.0,undefined,never-rated
125,Yo La Tengo,President Yo La Tengo/New Wave Hot Dogs,3 Blocks From Groove Street,2:24,,0,not-rated
126,Modest Mouse,Everywhere And His Nasty Parlour Tricks [EP],"3 Inch Horses, Two Faced Monsters",4:14,,0,not-rated
127,Caves,Betterment,<3 Koala,2:40,34.0,5,thumbs-up
128,Avey Tare,Down There,3 Umbrellas,2:43,,0,not-rated
129,Superchunk,No Pocky For Kitty,30 Xtra,2:31,,0,not-rated
130,Lightning Bolt,Wonderful Rainbow,"30,000 Monkies",3:49,,0,not-rated
131,Danny's Dead,Perfume,319,2:31,1.0,undefined,never-rated
132,Bon Iver,"22, A Million",33 “GOD”,3:33,3.0,undefined,never-rated
