MONO,Calibrated,Epoch,I0,I1,MPF_top,MPF_bot,FF1,FF2,FF3,DTC_FF1,DTC_FF2,DTC_FF3,EMISSION,RAMAN,pd1,tempC,Seconds,Seconds.1,SHIFT
11557.5,11557.6,7217,7469,224,12491,12656,36,0,0,36,0,0,11558.827,1862.792,-1,22.02438,0.6,0.6,0.1000000000003638
11557.75,11557.85,7218,7457,224,12458,12590,124,0,0,124,0,0,11558.827,1863.042,-1,22.02438,0.6,0.6,0.1000000000003638
11558.0,11558.1,7219,7462,225,12461,12588,271,0,0,271,0,0,11558.827,1863.292,-1,22.02438,0.6,0.6,0.1000000000003638
11558.25,11558.35,7220,7464,225,12456,12578,495,0,0,495,0,0,11558.827,1863.5425,-1,22.02438,0.6,0.6,0.1000000000003638
11558.5,11558.6,7221,7470,224,12504,12601,881,0,0,881,0,0,11558.827,1863.7925,-1,22.02438,0.6,0.6,0.1000000000003638
11558.75,11558.85,7222,7468,224,12529,12620,1448,0,0,1448,0,0,11558.827,1864.0425,-1,22.02438,0.6,0.6,0.1000000000003638
11559.0,11559.1,7223,7466,225,12496,12592,1708,0,0,1708,0,0,11558.827,1864.293,-1,22.02438,0.6,0.6,0.1000000000003638
11559.25,11559.35,7224,7470,224,12504,12596,1553,0,0,1553,0,0,11558.827,1864.537,-1,22.02438,0.6,0.6,0.1000000000003638
11559.5,11559.6,7225,7469,224,12496,12580,1208,0,0,1208,0,0,11558.827,1864.7875,-1,22.02438,0.6,0.6,0.1000000000003638
11559.75,11559.85,7226,7475,224,12552,12623,699,0,0,699,0,0,11558.827,1865.0375,-1,22.02438,0.6,0.6,0.1000000000003638
11560.0,11560.1,7227,7470,224,12529,12594,349,0,0,349,0,0,11558.827,1865.288,-1,22.02438,0.6,0.6,0.1000000000003638
11560.25,11560.35,7228,7466,224,12507,12586,162,0,0,162,0,0,11558.827,1865.538,-1,22.02438,0.6,0.6,0.1000000000003638
11560.5,11560.6,7229,7468,224,12516,12583,54,0,0,54,0,0,11558.827,1865.7885,-1,22.02438,0.6,0.6,0.1000000000003638
11560.75,11560.85,7229,7473,224,12558,12610,15,0,0,15,0,0,11558.827,1866.0385,-1,22.02438,0.6,0.6,0.1000000000003638
11561.0,11561.1,7230,7474,224,12540,12588,15,0,0,15,0,0,11558.827,1866.289,-1,22.02438,0.6,0.6,0.1000000000003638
11561.25,11561.35,7231,7461,224,12461,12510,9,0,0,9,0,0,11558.827,1866.539,-1,22.02438,0.6,0.6,0.1000000000003638
11561.5,11561.6,7232,7470,224,12533,12574,23,0,0,23,0,0,11558.827,1866.7895,-1,22.02438,0.6,0.6,0.1000000000003638
11561.75,11561.85,7233,7466,224,12507,12547,16,0,0,16,0,0,11558.827,1867.04,-1,22.02438,0.6,0.6,0.1000000000003638
11562.0,11562.1,7234,7473,225,12529,12562,27,0,0,27,0,0,11558.827,1867.29,-1,22.02438,0.6,0.6,0.1000000000003638
11562.25,11562.35,7235,7469,225,12514,12535,33,0,0,33,0,0,11558.827,1867.5405,-1,22.02438,0.6,0.6,0.1000000000003638
11562.5,11562.6,7236,7469,224,12520,12555,34,0,0,34,0,0,11558.827,1867.791,-1,22.02438,0.6,0.6,0.1000000000003638
11562.75,11562.85,7237,7468,224,12518,12556,37,0,0,37,0,0,11558.827,1868.041,-1,22.02438,0.6,0.6,0.1000000000003638
11563.0,11563.1,7238,7471,224,12516,12557,57,0,0,57,0,0,11558.827,1868.2915,-1,22.02438,0.6,0.6,0.1000000000003638
11563.25,11563.35,7239,7465,225,12485,12525,61,0,0,61,0,0,11558.827,1868.542,-1,22.02438,0.6,0.6,0.1000000000003638
11563.5,11563.6,7240,7486,224,12585,12612,80,0,0,80,0,0,11558.827,1868.7925,-1,22.02438,0.6,0.6,0.1000000000003638
11563.75,11563.85,7241,7483,224,12574,12601,79,0,0,79,0,0,11558.827,1869.043,-1,22.02438,0.6,0.6,0.1000000000003638
11564.0,11564.1,7242,7479,225,12552,12598,90,0,0,90,0,0,11558.827,1869.2875,-1,22.02438,0.6,0.6,0.1000000000003638
11564.25,11564.35,7242,7470,225,12496,12535,105,0,0,105,0,0,11558.827,1869.538,-1,22.02438,0.6,0.6,0.1000000000003638
