MONO,Epoch,I0,I1,MPF_top,MPF_bot,FF1,FF2,FF3,DTC_FF1,DTC_FF2,DTC_FF3,EMISSION,RAMAN,pd1,tempC,Seconds,Seconds.1
11550.5,12357,7460,228,12481,12631,40,0,0,40,0,0,11551.856000000002,1855.7925,-1,22.024379999999997,0.6,0.6
11550.75,12358,7457,228,12475,12594,107,0,0,107,0,0,11551.856000000002,1856.0425,-1,22.024379999999997,0.6,0.6
11551.0,12359,7456,228,12449,12555,231,0,0,231,0,0,11551.856000000002,1856.2925,-1,22.024379999999997,0.6,0.6
11551.25,12360,7461,227,12453,12570,472,0,0,472,0,0,11551.856000000002,1856.5420000000001,-1,22.024379999999997,0.6,0.6
11551.5,12361,7465,228,12489,12584,831,0,0,831,0,0,11551.856000000002,1856.7920000000001,-1,22.024379999999997,0.6,0.6
11551.75,12362,7460,228,12452,12555,1462,0,0,1462,0,0,11551.856000000002,1857.0420000000001,-1,22.024379999999997,0.6,0.6
11552.0,12363,7456,228,12459,12554,1761,0,0,1761,0,0,11551.856000000002,1857.2920000000001,-1,22.024379999999997,0.6,0.6
11552.25,12364,7464,228,12518,12607,1813,0,0,1813,0,0,11551.856000000002,1857.5415,-1,22.024379999999997,0.6,0.6
11552.5,12365,7458,227,12460,12546,1441,0,0,1441,0,0,11551.856000000002,1857.7915,-1,22.024379999999997,0.6,0.6
11552.75,12366,7459,228,12475,12553,863,0,0,863,0,0,11551.856000000002,1858.0415,-1,22.024379999999997,0.6,0.6
11553.0,12367,7462,228,12516,12568,503,0,0,503,0,0,11551.856000000002,1858.2915,-1,22.024379999999997,0.6,0.6
11553.25,12367,7461,228,12513,12562,233,0,0,233,0,0,11551.856000000002,1858.5415,-1,22.024379999999997,0.6,0.6
11553.5,12368,7462,228,12498,12560,98,0,0,98,0,0,11551.856000000002,1858.7915,-1,22.024379999999997,0.6,0.6
11553.75,12369,7455,228,12472,12522,39,0,0,39,0,0,11551.856000000002,1859.0410000000002,-1,22.024379999999997,0.6,0.6
11554.0,12370,7448,228,12423,12474,32,0,0,32,0,0,11551.856000000002,1859.2910000000002,-1,22.024379999999997,0.6,0.6
11554.25,12371,7469,228,12549,12577,14,0,0,14,0,0,11551.856000000002,1859.5410000000002,-1,22.024379999999997,0.6,0.6
11554.5,12372,7462,229,12529,12557,12,0,0,12,0,0,11551.856000000002,1859.7910000000002,-1,22.024379999999997,0.6,0.6
11554.75,12373,7451,228,12472,12501,6,0,0,6,0,0,11551.856000000002,1860.0410000000002,-1,22.024379999999997,0.6,0.6
11555.0,12374,7467,228,12527,12548,8,0,0,8,0,0,11551.856000000002,1860.2910000000002,-1,22.024379999999997,0.6,0.6
11555.25,12375,7457,228,12495,12510,9,0,0,9,0,0,11551.856000000002,1860.5410000000002,-1,22.024379999999997,0.6,0.6
11555.5,12376,7464,228,12510,12539,8,0,0,8,0,0,11551.856000000002,1860.7910000000002,-1,22.024379999999997,0.6,0.6
11555.75,12377,7464,228,12510,12534,7,0,0,7,0,0,11551.856000000002,1861.0410000000002,-1,22.024379999999997,0.6,0.6
