mono,Epoch,I0,I1,MPF_top,MPF_bot,FF1,FF2,FF3,DTC_FF1,DTC_FF2,DTC_FF3,EMISSION,RAMAN,pd1,tempC,Seconds,Seconds
11566.252,1021,7472,225,12435,12534,143,0,0,143,0,0,11567.514,1871.5415,-1,22.02438,0.6,0.6
11566.502,1022,7475,224,12478,12567,332,0,0,332,0,0,11567.514,1871.792,-1,22.02438,0.6,0.6
11566.753,1023,7481,225,12487,12583,689,0,0,689,0,0,11567.514,1872.043,-1,22.02438,0.6,0.6
11566.997,1024,7484,225,12495,12558,1075,0,0,1075,0,0,11567.514,1872.2875,-1,22.02438,0.6,0.6
11567.248,1025,7484,225,12523,12565,1513,0,0,1513,0,0,11567.514,1872.538,-1,22.02438,0.6,0.6
11567.498,1026,7475,225,12486,12510,1722,0,0,1722,0,0,11567.514,1872.7885,-1,22.02438,0.6,0.6
11567.749,1026,7485,224,12525,12549,1517,0,0,1517,0,0,11567.514,1873.0395,-1,22.02438,0.6,0.6
11568,1027,7479,225,12513,12533,1078,0,0,1078,0,0,11567.514,1873.29,-1,22.02438,0.6,0.6
11568.251,1028,7478,225,12507,12524,627,0,0,627,0,0,11567.514,1873.5405,-1,22.02438,0.6,0.6
11568.501,1029,7482,225,12543,12555,317,0,0,317,0,0,11567.514,1873.791,-1,22.02438,0.6,0.6
11568.752,1030,7471,225,12511,12501,134,0,0,134,0,0,11567.514,1874.0415,-1,22.02438,0.6,0.6
11569.003,1031,7474,225,12495,12493,62,0,0,62,0,0,11567.514,1874.2925,-1,22.02438,0.6,0.6
11569.247,1032,7467,224,12482,12472,20,0,0,20,0,0,11567.514,1874.537,-1,22.02438,0.6,0.6
11569.498,1033,7468,224,12495,12486,19,0,0,19,0,0,11567.514,1874.788,-1,22.02438,0.6,0.6
11569.748,1034,7472,225,12491,12497,19,0,0,19,0,0,11567.514,1875.0385,-1,22.02438,0.6,0.6
11569.999,1035,7474,225,12516,12513,24,0,0,24,0,0,11567.514,1875.2895,-1,22.02438,0.6,0.6
11570.25,1036,7470,225,12496,12483,17,0,0,17,0,0,11567.514,1875.54,-1,22.02438,0.6,0.6
11570.501,1037,7474,224,12513,12509,30,0,0,30,0,0,11567.514,1875.7905,-1,22.02438,0.6,0.6
11570.752,1038,7467,224,12485,12478,35,0,0,35,0,0,11567.514,1876.0415,-1,22.02438,0.6,0.6
11571.002,1039,7476,225,12521,12503,38,0,0,38,0,0,11567.514,1876.292,-1,22.02438,0.6,0.6
11571.247,1039,7473,225,12507,12504,48,0,0,48,0,0,11567.514,1876.537,-1,22.02438,0.6,0.6
11571.498,1040,7471,225,12513,12511,25,0,0,25,0,0,11567.514,1876.788,-1,22.02438,0.6,0.6
11571.748,1041,7477,225,12526,12528,54,0,0,54,0,0,11567.514,1877.0385,-1,22.02438,0.6,0.6
11571.999,1042,7474,225,12509,12515,44,0,0,44,0,0,11567.514,1877.2895,-1,22.02438,0.6,0.6
11572.25,1043,7474,225,12513,12527,39,0,0,39,0,0,11567.514,1877.54,-1,22.02438,0.6,0.6
11572.501,1044,7479,225,12567,12563,36,0,0,36,0,0,11567.514,1877.791,-1,22.02438,0.6,0.6
11572.752,1045,7477,224,12543,12544,43,0,0,43,0,0,11567.514,1878.042,-1,22.02438,0.6,0.6
11573.003,1046,7477,224,12560,12543,36,0,0,36,0,0,11567.514,1878.2925,-1,22.02438,0.6,0.6
11573.247,1047,7471,225,12505,12493,26,0,0,26,0,0,11567.514,1878.5375,-1,22.02438,0.6,0.6
11573.498,1048,7476,224,12547,12526,29,0,0,29,0,0,11567.514,1878.7885,-1,22.02438,0.6,0.6
11573.749,1049,7470,225,12519,12497,16,0,0,16,0,0,11567.514,1879.0395,-1,22.02438,0.6,0.6
11574.001,1050,7478,225,12565,12539,10,0,0,10,0,0,11567.514,1879.2905,-1,22.02438,0.6,0.6
11574.251,1051,7477,225,12565,12535,24,0,0,24,0,0,11567.514,1879.541,-1,22.02438,0.6,0.6
11574.502,1052,7467,224,12502,12465,16,0,0,16,0,0,11567.514,1879.792,-1,22.02438,0.6,0.6
11574.747,1052,7470,225,12514,12482,21,0,0,21,0,0,11567.514,1880.037,-1,22.02438,0.6,0.6
11574.998,1053,7474,224,12547,12510,14,0,0,14,0,0,11567.514,1880.288,-1,22.02438,0.6,0.6
11575.249,1054,7472,224,12526,12476,19,0,0,19,0,0,11567.514,1880.539,-1,22.02438,0.6,0.6
11575.5,1055,7473,225,12540,12495,15,0,0,15,0,0,11567.514,1880.79,-1,22.02438,0.6,0.6
11575.751,1056,7475,225,12567,12514,15,0,0,15,0,0,11567.514,1881.041,-1,22.02438,0.6,0.6
11576.002,1057,7471,225,12532,12497,13,0,0,13,0,0,11567.514,1881.292,-1,22.02438,0.6,0.6
11576.247,1058,7468,225,12504,12464,18,0,0,18,0,0,11567.514,1881.537,-1,22.02438,0.6,0.6
11576.498,1059,7463,224,12493,12446,10,0,0,10,0,0,11567.514,1881.788,-1,22.02438,0.6,0.6
11576.749,1060,7473,225,12534,12498,12,0,0,12,0,0,11567.514,1882.039,-1,22.02438,0.6,0.6
11577,1061,7462,224,12484,12454,10,0,0,10,0,0,11567.514,1882.29,-1,22.02438,0.6,0.6
11577.251,1062,7469,225,12513,12486,10,0,0,10,0,0,11567.514,1882.541,-1,22.02438,0.6,0.6
11577.502,1063,7474,225,12546,12507,14,0,0,14,0,0,11567.514,1882.792,-1,22.02438,0.6,0.6
11577.747,1064,7476,225,12532,12517,16,0,0,16,0,0,11567.514,1883.0375,-1,22.02438,0.6,0.6
11577.998,1065,7464,225,12502,12466,13,0,0,13,0,0,11567.514,1883.2885,-1,22.02438,0.6,0.6
11578.249,1065,7468,225,12515,12477,19,0,0,19,0,0,11567.514,1883.5395,-1,22.02438,0.6,0.6
11578.501,1066,7459,225,12466,12438,15,0,0,15,0,0,11567.514,1883.7905,-1,22.02438,0.6,0.6
11578.752,1067,7464,225,12492,12450,17,0,0,17,0,0,11567.514,1884.0415,-1,22.02438,0.6,0.6
11579.003,1068,7468,225,12508,12485,19,0,0,19,0,0,11567.514,1884.293,-1,22.02438,0.6,0.6
11579.248,1069,7471,225,12526,12494,15,0,0,15,0,0,11567.514,1884.538,-1,22.02438,0.6,0.6
11579.499,1070,7466,224,12488,12470,23,0,0,23,0,0,11567.514,1884.789,-1,22.02438,0.6,0.6
11579.751,1071,7463,225,12472,12451,10,0,0,10,0,0,11567.514,1885.0405,-1,22.02438,0.6,0.6
11580.002,1072,7452,225,12432,12410,16,0,0,16,0,0,11567.514,1885.2915,-1,22.02438,0.6,0.6
11580.253,1073,7471,225,12520,12507,12,0,0,12,0,0,11567.514,1885.5425,-1,22.02438,0.6,0.6
11580.498,1074,7463,225,12489,12477,14,0,0,14,0,0,11567.514,1885.788,-1,22.02438,0.6,0.6
11580.749,1075,7463,225,12474,12462,16,0,0,16,0,0,11567.514,1886.039,-1,22.02438,0.6,0.6
11699.999,1078,7486,225,12183,11936,19,0,0,19,0,0,11567.514,2005.289,-1,22.02438,0.6,0.6
11700.202,1079,7475,225,12136,11902,16,0,0,16,0,0,11567.514,2005.492,-1,22.02438,0.6,0.6
11700.399,1080,7484,225,12173,11962,23,0,0,23,0,0,11567.514,2005.689,-1,22.02438,0.6,0.6
11700.602,1080,7478,225,12152,11958,8,0,0,8,0,0,11567.514,2005.892,-1,22.02438,0.6,0.6
11700.799,1081,7457,224,12094,11935,21,0,0,21,0,0,11567.514,2006.089,-1,22.02438,0.6,0.6
11701.002,1082,7433,225,12069,11911,20,0,0,20,0,0,11567.514,2006.292,-1,22.02438,0.6,0.6
11701.199,1083,7394,224,11981,11841,15,0,0,15,0,0,11567.514,2006.489,-1,22.02438,0.6,0.6
11701.402,1084,7358,225,11923,11811,15,0,0,15,0,0,11567.514,2006.692,-1,22.02438,0.6,0.6
11701.6,1085,7372,225,11961,11873,16,0,0,16,0,0,11567.514,2006.8895,-1,22.02438,0.6,0.6
11701.802,1086,7427,225,12005,11951,20,0,0,20,0,0,11567.514,2007.0925,-1,22.02438,0.6,0.6
11701.999,1087,7476,224,12079,12034,16,0,0,16,0,0,11567.514,2007.2895,-1,22.02438,0.6,0.6
11702.202,1088,7474,225,12083,12020,13,0,0,13,0,0,11567.514,2007.4925,-1,22.02438,0.6,0.6
11702.399,1089,7459,225,12072,12001,18,0,0,18,0,0,11567.514,2007.6895,-1,22.02438,0.6,0.6
11702.603,1090,7419,224,12010,11941,24,0,0,24,0,0,11567.514,2007.8925,-1,22.02438,0.6,0.6
11702.799,1091,7383,225,11938,11889,20,0,0,20,0,0,11567.514,2008.0895,-1,22.02438,0.6,0.6
11703.003,1092,7378,224,11920,11906,14,0,0,14,0,0,11567.514,2008.293,-1,22.02438,0.6,0.6
11703.2,1092,7425,224,11980,11978,24,0,0,24,0,0,11567.514,2008.49,-1,22.02438,0.6,0.6
11703.397,1093,7469,225,12008,12045,18,0,0,18,0,0,11567.514,2008.687,-1,22.02438,0.6,0.6
11703.6,1094,7506,224,12078,12105,16,0,0,16,0,0,11567.514,2008.89,-1,22.02438,0.6,0.6
11703.798,1095,7518,225,12100,12122,23,0,0,23,0,0,11567.514,2009.0875,-1,22.02438,0.6,0.6
11704.001,1096,7521,225,12133,12149,18,0,0,18,0,0,11567.514,2009.2905,-1,22.02438,0.6,0.6
11704.198,1097,7510,225,12088,12093,31,0,0,31,0,0,11567.514,2009.4875,-1,22.02438,0.6,0.6
11704.4,1098,7516,224,12100,12114,31,0,0,31,0,0,11567.514,2009.6905,-1,22.02438,0.6,0.6
11704.598,1099,7511,224,12099,12123,9,0,0,9,0,0,11567.514,2009.888,-1,22.02438,0.6,0.6
11704.801,1100,7508,225,12055,12083,18,0,0,18,0,0,11567.514,2010.091,-1,22.02438,0.6,0.6
11704.998,1101,7503,225,12049,12084,20,0,0,20,0,0,11567.514,2010.288,-1,22.02438,0.6,0.6
